,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
0,How to Learn Online,edX,https://www.edx.org/learn/how-to-learn/edx-how-to-learn-online?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=1&results_level=second-level-results&term=&objectID=course-0e575a39-da1e-4e33-bb3b-e96cc6ffc58e&campaign=How+to+Learn+Online&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,2–3 hours per week,Starts Jul 27,287998,Self-paced,£54,Education & Teacher Training
1,"The Science of
Happiness","University of California, Ber…",https://www.edx.org/learn/happiness/university-of-california-berkeley-the-science-of-happiness?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=2&results_level=second-level-results&term=&objectID=course-73484215-4007-48cd-ba90-c945cde6030d&campaign=The+Science+of+Happiness&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,11 weeks,4–5 hours per week,Starts Jul 27,583920,Self-paced,£131,Social Sciences
2,"Remote Work
Revolution for
Everyone",Harvard University,https://www.edx.org/learn/remote-work/harvard-university-remote-work-revolution-for-everyone?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=3&results_level=second-level-results&term=&objectID=course-4d67e5fe-1f51-4f7c-a523-d545cc87fc78&campaign=Remote+Work+Revolution+for+Everyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–3 hours per week,Starts Jul 27,114666,Self-paced,£116,Business & Management
3,"CS50's Introduction to
Computer Science",Harvard University,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=4&results_level=second-level-results&term=&objectID=course-da1b2400-322b-459b-97b0-0c557f05d017&campaign=CS50%27s+Introduction+to+Computer+Science&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,6–18 hours per week,Starts Jul 27,5988868,Self-paced,£0,Computer Science
4,"Data Visualization and
Building Dashboards
with Excel and Cogn…",IBM,https://www.edx.org/learn/data-visualization/ibm-data-visualization-and-building-dashboards-with-excel-and-cognos?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=5&results_level=second-level-results&term=&objectID=course-fa4317f9-e35c-4c7a-b5ef-a14afa1b356d&campaign=Data+Visualization+and+Building+Dashboards+with+Excel+and+Cognos&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,48226,Self-paced,£77,Data Analysis & Statistics
5,"Six Sigma Part 2:
Analyze, Improve,
Control",Technische Universität Mün…,https://www.edx.org/learn/six-sigma/technische-universitat-munchen-six-sigma-analyze-improve-control?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=6&results_level=second-level-results&term=&objectID=course-50f33f6f-be42-43d2-9ccc-d5c5aedbf4fd&campaign=Six+Sigma+Part+2%3A+Analyze%2C+Improve%2C+Control&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–4 hours per week,Starts Jul 27,85904,Self-paced,£147,Business & Management
6,"CS50's Introduction to
Programming with
Python",Harvard University,https://www.edx.org/learn/python/harvard-university-cs50-s-introduction-to-programming-with-python?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=7&results_level=second-level-results&term=&objectID=course-2cc794d0-316d-42f7-bbfd-25c34e4cd5df&campaign=CS50%27s+Introduction+to+Programming+with+Python&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,3–9 hours per week,Starts Jul 27,1055349,Self-paced,£0,Computer Science
7,"Analyzing Data with
Excel",IBM,https://www.edx.org/learn/excel/ibm-analyzing-data-with-excel?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=8&results_level=second-level-results&term=&objectID=course-256bcc7d-5d2f-4053-b09a-22b48e058798&campaign=Analyzing+Data+with+Excel&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–3 hours per week,Starts Jul 27,247813,Self-paced,£77,Data Analysis & Statistics
8,"The Science of
Generosity: Do
Good…Feel Good",University of Pennsylvania,https://www.edx.org/learn/humanities/university-of-pennsylvania-the-science-of-generosity-do-good-feel-good?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=9&results_level=second-level-results&term=&objectID=course-83991f62-3401-48f2-9b46-f4a76692794c&campaign=The+Science+of+Generosity%3A+Do+Good%E2%80%A6Feel+Good&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£38,Philanthropy
9,"Entrepreneurial
Operations:
Launching a Startup",Babson College,https://www.edx.org/learn/entrepreneurship/babson-college-entrepreneurial-operations-launching-a-startup?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=10&results_level=second-level-results&term=&objectID=course-002fcc00-5258-4760-ae83-8e8f1280e3bd&campaign=Entrepreneurial+Operations%3A+Launching+a+Startup&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,48558,Self-paced,£147,Business & Management
10,"Marketing
Management",Indian Institute of Managem…,https://www.edx.org/learn/marketing-management/indian-institute-of-management-bangalore-marketing-management?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=11&results_level=second-level-results&term=&objectID=course-b1e08c5c-4648-4b22-bb22-7b477fcf88d1&campaign=Marketing+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,2–4 hours per week,Started May 1,137999,Instructor-paced,£117,Business & Management
11,"The Foundations of
Happiness at Work","University of California, Ber…",https://www.edx.org/learn/happiness/university-of-california-berkeley-the-foundations-of-happiness-at-work?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=12&results_level=second-level-results&term=&objectID=course-a00ec61d-e2db-45c8-92c9-4727056c2f4a&campaign=The+Foundations+of+Happiness+at+Work&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,101852,Self-paced,£155,Business & Management
12,"Introduction to Web
Accessibility",The World Wide Web Conso…,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=13&results_level=second-level-results&term=&objectID=course-8ac6f7ff-0ff9-4894-a5f3-cc34fc5768fa&campaign=Introduction+to+Web+Accessibility&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–5 hours per week,Starts Jul 27,73162,Self-paced,£77,Computer Science
13,"Coaching Skills for
Learner-Centred
Conversations",Imperial College London,https://www.edx.org/learn/coaching/imperial-college-london-coaching-skills-for-learner-centred-conversations?index=product&queryID=1151d7637f7f1787a74915129ef69287&position=14&results_level=second-level-results&term=&objectID=course-4145aa87-e1bf-4f84-b6c9-63ef0771e829&campaign=Coaching+Skills+for+Learner-Centred+Conversations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,24071,Self-paced,£46,Education & Teacher Training
